VIN_BIAS,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.6270000000000004,2.0,6.300534728243622e-05,0.6270000000000004,0.7471700468639316,0.503438636486206,0.1363006845672562,0.0004533979635017871,2.783037631123454e-05,7.196182477507917,16.29147800343468,35931.96113544182,0.6108693622966754
0.6280000000000004,2.0,6.339532009799902e-05,0.6280000000000004,0.7449861991213278,0.503467067297222,0.136735121413188,0.0004546429573302255,2.803886449059077e-05,7.171554129719054,16.21474212990308,35664.78237146794,0.6082510777081398
0.6290000000000004,2.0,6.378595738155283e-05,0.6290000000000004,0.7427986303580221,0.5034955585219222,0.1371698876524502,0.0004558798887245047,2.824870198954202e-05,7.147026077327044,16.1380826946766,35399.8566153663,0.6056287427055719
0.6300000000000004,2.0,6.417724832516134e-05,0.6300000000000004,0.740607401098447,0.5035241094374756,0.1376049790299987,0.0004571087135895875,2.845989989774893e-05,7.122597763163643,16.06150110267054,35137.15802208764,0.6030024220684483
0.6310000000000004,2.0,6.456918208343936e-05,0.6310000000000004,0.7384125720767635,0.5035527193171289,0.1380403913133073,0.0004583293886150014,2.86724694639501e-05,7.098268637375296,15.98499875259293,34876.6610862486,0.6003721807634561
0.6320000000000005,2.0,6.496174777434854e-05,0.6320000000000005,0.7362142042323865,0.5035813874302593,0.1384761202925641,0.000459541871272018,2.888642209924573e-05,7.07403815722326,15.90857703640692,34618.34063645118,0.5977380839398224
0.6330000000000005,2.0,6.5354934479993e-05,0.6330000000000005,0.7340123587055306,0.5036101130424138,0.1389121617808723,0.0004607461198105672,2.91017693804632e-05,7.049905786886667,15.83223733880176,34362.1718297076,0.5951001969246583
0.6340000000000005,2.0,6.57487312474029e-05,0.6340000000000005,0.7318070968328271,0.5036388954153592,0.1393485116144396,0.0004619420932558381,2.931852305360267e-05,7.025870997268902,15.75598103667349,34108.13014597336,0.5924585852183875
0.6350000000000005,2.0,6.61431270893131e-05,0.6350000000000005,0.72959848014296,0.5036677338071237,0.1397851656527683,0.0004631297514046081,2.953669503736761e-05,7.001933265807097,15.6798094986149,33856.1913827825,0.5898133144901917
0.6360000000000005,2.0,6.65381109849308e-05,0.6360000000000005,0.7273865703523651,0.5036966274720444,0.1402221197788356,0.0004643090548212725,2.975629742678041e-05,6.978092076284858,15.6037240844151,33606.33164998575,0.5871644505735295
0.6370000000000005,2.0,6.693367188069822e-05,0.6370000000000005,0.7251714293609688,0.5037255756608081,0.1406593698992733,0.000465479964833611,2.997734249688711e-05,6.954346918648015,15.52772614456892,33358.52736458681,0.5845120594616955
0.6380000000000005,2.0,6.732979869104401e-05,0.6380000000000005,0.722953119247974,0.503754577620495,0.1410969119445412,0.0004666424435282649,3.019984270655214e-05,6.93069728882353,15.45181701979602,33112.75524567685,0.5818562073034328
0.6390000000000005,2.0,6.772648029912355e-05,0.6390000000000005,0.7207317022676984,0.5037836325946271,0.1415347418690917,0.0004677964537459427,3.042381070234554e-05,6.90714268854175,15.37599804057017,32868.99230946452,0.5791969603986067
0.6400000000000005,2.0,6.812370555755646e-05,0.6400000000000005,0.71850724084548,0.5038127398232033,0.1419728556515391,0.000468941959076373,3.064925932252648e-05,6.883682625161233,15.30027052665876,32627.21586439852,0.5765343851939408
0.6410000000000005,2.0,6.852146328914747e-05,0.6410000000000005,0.7162797975736139,0.5038418985427469,0.1424112492948131,0.0004700789238529752,3.087620160112367e-05,6.86031661149711,15.22463578667227,32387.40350638231,0.5738685482788008
0.6420000000000005,2.0,6.891974228760052e-05,0.6420000000000005,0.7140494352073493,0.5038711079863454,0.142849918826315,0.0004712073131472782,3.110465077211658e-05,6.837044165652218,15.14909511762424,32149.5331140782,0.5711995163810343
0.6430000000000005,2.0,6.931853131822363e-05,0.6430000000000005,0.7118162166609661,0.5039003673836908,0.1432888602980664,0.0004723270927630908,3.133462027371941e-05,6.813864810851245,15.07364980450186,31913.58284429914,0.5685273563628996
0.6440000000000005,2.0,6.971781911862053e-05,0.6440000000000005,0.7095802050038826,0.5039296759611209,0.1437280697868523,0.0004734382292304064,3.156612375277051e-05,6.790778075277915,14.99830111984698,31679.53112748699,0.5658521352170304
0.6450000000000005,2.0,7.011759439937283e-05,0.6450000000000005,0.7073414634568393,0.5039590329416592,0.1441675433943607,0.0004745406897990694,3.179917506923026e-05,6.767783491915075,14.92305032334778,31447.35666327479,0.5631739200624787
0.6460000000000005,2.0,7.051784584471107e-05,0.6460000000000005,0.7051000553881429,0.5039884375450551,0.1446072772473169,0.0004756344424321929,3.203378830079001e-05,6.744880598387645,14.84789866144127,31217.03841613195,0.560492778140826
0.6470000000000005,2.0,7.091856211317488e-05,0.6470000000000005,0.7028560443099698,0.5040178889878197,0.1450472674976125,0.0004767194557993427,3.22699777475954e-05,6.722068936808451,14.77284736692654,30988.5556110901,0.5578087768123574
0.6480000000000005,2.0,7.131973183826113e-05,0.6480000000000005,0.7006094938747434,0.5040473864832659,0.1454875103224318,0.0004777956992694784,3.250775793708619e-05,6.699348053626842,14.69789765858904,30761.88772954898,0.5551219835523116
0.6490000000000005,2.0,7.1721343629058e-05,0.6490000000000005,0.6983604678715629,0.5040769292415462,0.1459280019243674,0.0004788631429036613,3.274714362895614e-05,6.676717499480277,14.62305074083574,30537.01450516026,0.5524324659471955
0.6500000000000005,2.0,7.212338607087214e-05,0.6500000000000005,0.6961090302227164,0.504106516469686,0.1463687385315409,0.0004799217574475432,3.298814982023673e-05,6.654176829048324,14.54830780334134,30313.91591978721,0.5497402916911756
0.6510000000000005,2.0,7.252584772583609e-05,0.6510000000000005,0.6938552449802546,0.5041361473716256,0.1468097163977068,0.0004809715143236134,3.323079175050589e-05,6.631725600909801,14.47367002070576,30092.5721995407,0.5470455285825478
0.6520000000000005,2.0,7.292871713351172e-05,0.6520000000000005,0.691599176322634,0.5041658211482467,0.1472509318023641,0.0004820123856232465,3.347508490722822e-05,6.609363377402102,14.39913855212258,29872.96381088705,0.5443482445202699
0.6530000000000005,2.0,7.333198281147202e-05,0.6530000000000005,0.6893408885514449,0.5041955369974164,0.1476923810508515,0.0004830443440985071,3.3721045031226e-05,6.587089724483618,14.32471454105896,29655.07145683032,0.5416485075005935
0.6540000000000005,2.0,7.373563325587632e-05,0.6540000000000005,0.6870804460881913,0.5042252941140134,0.1481340604744477,0.0004840673631537608,3.396868812228857e-05,6.564904211598408,14.25039911494668,29438.87607316367,0.5389463856137436
0.6550000000000005,2.0,7.413965694202938e-05,0.6550000000000005,0.6848179134711685,0.5042550916899634,0.1485759664304604,0.0004850814168370644,3.421803044492062e-05,6.54280641154355,14.17619338488463,29224.3588247915,0.536241947040708
0.6560000000000005,2.0,7.454404232492716e-05,0.6560000000000005,0.682553355352398,0.5042849289142711,0.1490180953023142,0.0004860864798313491,3.446908853423455e-05,6.520795900338968,14.10209844535257,29011.5011021195,0.5335352600500838
0.6570000000000005,2.0,7.494877783978815e-05,0.6570000000000005,0.680286836494657,0.5043148049730526,0.1494604434996321,0.0004870825274453981,3.472187920198958e-05,6.498872257099737,14.02811537393656,28800.2845175125,0.530826392995025
0.6580000000000005,2.0,7.535385190257176e-05,0.6580000000000005,0.6780184217685682,0.5043447190495637,0.1499030074583128,0.0004880695356046272,3.497641954278267e-05,6.477035063910779,13.95424523106567,28590.69090181783,0.5281154143102553
0.6590000000000005,2.0,7.575925291048272e-05,0.6590000000000005,0.6757481761497894,0.5043746703242298,0.1503457836406052,0.0004890474808416658,3.52327269403943e-05,6.455283905703851,13.88048905976032,28382.70230095362,0.5254023925091842
0.6600000000000005,2.0,7.616496924245909e-05,0.6600000000000005,0.6734761647162617,0.5044046579746762,0.1507887685351758,0.0004900163402867387,3.549081907429321e-05,6.433618370136982,13.8068478853921,28176.30097256116,0.5226873961810858
0.6610000000000005,2.0,7.65709892596475e-05,0.6610000000000005,0.6712024526455673,0.5044346811757535,0.1512319586571736,0.000490976091657864,3.57507139263042e-05,6.412038047476083,13.73332271545548,27971.46938272002,0.5199704939883938
0.6620000000000005,2.0,7.697730130586291e-05,0.6620000000000005,0.6689271052123406,0.504464739099565,0.1516753505482897,0.0004919267132508548,3.601242978744407e-05,6.390542530478777,13.65991453935074,27768.19020272426,0.5172517546640508
0.6630000000000005,2.0,7.738389370803244e-05,0.6630000000000005,0.6666501877857874,0.5044948309154937,0.1521189407768131,0.0004928681839291367,3.627598526492843e-05,6.369131414280464,13.58662432817892,27566.44630592015,0.5145312470089743
0.6640000000000005,2.0,7.779075477662469e-05,0.6640000000000005,0.664371765827285,0.5045249557902269,0.1525627259376812,0.0004938004831133855,3.654139928935489e-05,6.347804296282497,13.51345303454862,27366.22076460319,0.5118090398896038
0.6650000000000005,2.0,7.819787280606455e-05,0.6650000000000005,0.6620919048880518,0.504555112887778,0.1530067026525289,0.0004947235907709795,3.68086911220682e-05,6.326560776042307,13.44040159239387,27167.49684697324,0.5090852022355229
0.6660000000000005,2.0,7.860523607513002e-05,0.6660000000000005,0.6598106706069317,0.5045853013695116,0.1534508675697292,0.0004956374874052779,3.707788036270884e-05,6.305400455165781,13.36747091680479,26970.25801414884,0.5063598030372025
0.6670000000000005,2.0,7.901283284733402e-05,0.6670000000000005,0.6575281287082466,0.5046155203941666,0.1538952173644326,0.0004965421540447165,3.734898695695301e-05,6.284322937201461,13.29466190386935,26774.48791723752,0.503632911343814
0.6680000000000005,2.0,7.942065137129233e-05,0.6680000000000005,0.655244344999752,0.5046457691178731,0.1543397487386033,0.0004974375722317447,3.762203120444791e-05,6.263327827536681,13.22197543052738,26580.17039446222,0.5009045962611487
